session_ID,station_ID,port_ID,session_start,session_end,kWh_delivered,payment_required
2_39_81_4550_2021-04-19 21:13:49.622220,39,2-39-81-4550,2021-04-19T21:13:56Z,2021-04-19T22:52:15Z,34.42,TRUE
2_39_81_4550_2021-04-19 23:56:17.138823,39,2-39-81-4550,2021-04-19T23:56:21Z,2021-04-20T00:03:22Z,4.594,TRUE
2_39_81_4550_2021-04-20 02:42:00.878934,39,2-39-81-4550,2021-04-20T02:42:10Z,2021-04-20T04:31:02Z,69.74,TRUE
2_39_81_4550_2021-04-20 14:30:26.646152,39,2-39-81-4550,2021-04-20T14:30:46Z,2021-04-20T14:41:49Z,7.938,TRUE
2_39_79_379_2021-04-20 15:30:03.451133,39,2-39-79-379,2021-04-20T15:30:18Z,2021-04-20T19:38:20Z,2.941,TRUE
2_39_79_377_2021-04-20 16:38:23.440161,39,2-39-79-377,2021-04-20T16:38:36Z,2021-04-21T01:20:32Z,8.267,TRUE
2_39_81_4550_2021-04-20 18:10:14.906463,39,2-39-81-4550,2021-04-20T18:10:27Z,2021-04-20T19:05:48Z,16.53,TRUE
2_39_89_25_2021-04-20 19:52:35.291670,39,2-39-89-25,2021-04-20T19:52:46Z,2021-04-20T22:17:15Z,3.246,TRUE
2_39_78_365_2021-04-20 19:52:57.047265,39,2-39-78-365,2021-04-20T19:53:00Z,2021-04-21T03:06:26Z,2.216,TRUE
2_39_125_21_2021-04-20 21:10:12.990360,39,2-39-125-21,2021-04-20T21:10:23Z,2021-04-20T22:09:02Z,3.132,TRUE
2_39_139_28_2021-04-21 00:21:43.810884,39,2-39-139-28,2021-04-21T00:21:44Z,2021-04-21T01:43:34Z,1.006,
2_39_81_4550_2021-04-21 00:37:38.993672,39,2-39-81-4550,2021-04-21T00:37:55Z,2021-04-21T01:33:24Z,19.478,TRUE
2_39_81_4550_2021-04-21 02:50:09.801267,39,2-39-81-4550,2021-04-21T02:50:12Z,2021-04-21T04:02:58Z,18.02,TRUE
2_39_78_367_2021-04-21 03:48:07.967189,39,2-39-78-367,2021-04-21T03:48:08Z,2021-04-21T07:15:14Z,22.742,TRUE
2_39_81_4550_2021-04-21 04:02:58.030293,39,2-39-81-4550,2021-04-21T04:02:58Z,2021-04-21T06:11:41Z,33.959,
2_39_81_4550_2021-04-21 14:58:33.067616,39,2-39-81-4550,2021-04-21T14:58:55Z,2021-04-21T15:24:47Z,18.468,TRUE
2_39_125_21_2021-04-21 17:42:09.430327,39,2-39-125-21,2021-04-21T17:42:19Z,2021-04-21T18:41:34Z,2.058,TRUE
2_39_79_379_2021-04-21 18:16:15.708520,39,2-39-79-379,2021-04-21T18:16:22Z,2021-04-22T01:41:59Z,6.673,TRUE
2_39_139_28_2021-04-21 19:24:53.192850,39,2-39-139-28,2021-04-21T19:25:00Z,2021-04-22T02:53:30Z,4.412,TRUE
2_39_131_30_2021-04-21 19:36:33.929993,39,2-39-131-30,2021-04-21T19:36:34Z,2021-04-22T01:22:26Z,6.388,TRUE
2_39_130_31_2021-04-21 20:24:05.608619,39,2-39-130-31,2021-04-21T20:24:13Z,2021-04-22T00:07:19Z,6.37,TRUE
2_39_81_4550_2021-04-21 21:59:54.938215,39,2-39-81-4550,2021-04-21T22:00:39Z,2021-04-21T22:48:34Z,5.222,TRUE
2_39_89_25_2021-04-21 22:22:22.484843,39,2-39-89-25,2021-04-21T22:22:33Z,2021-04-21T23:36:43Z,3.918,TRUE
2_39_78_365_2021-04-21 22:44:33.356837,39,2-39-78-365,2021-04-21T22:45:05Z,2021-04-22T03:50:55Z,2.311,TRUE
2_39_81_4550_2021-04-21 22:49:32.344967,39,2-39-81-4550,2021-04-21T22:49:36Z,2021-04-21T23:27:43Z,16.842,TRUE
2_39_81_4550_2021-04-22 00:24:37.876458,39,2-39-81-4550,2021-04-22T00:24:59Z,2021-04-22T01:43:28Z,27.797,TRUE
2_39_81_4550_2021-04-22 02:49:13.971450,39,2-39-81-4550,2021-04-22T02:49:25Z,2021-04-22T03:05:50Z,7.855,TRUE
2_39_81_4550_2021-04-22 04:41:40.233504,39,2-39-81-4550,2021-04-22T04:41:47Z,2021-04-22T05:34:13Z,14.176,TRUE
2_39_79_380_2021-04-22 15:35:58.339417,39,2-39-79-380,2021-04-22T15:36:07Z,2021-04-22T18:23:20Z,7.526,TRUE
2_39_81_4550_2021-04-22 17:40:57.182631,39,2-39-81-4550,2021-04-22T17:41:07Z,2021-04-22T19:31:56Z,64.874,TRUE
2_39_79_379_2021-04-22 18:28:15.172284,39,2-39-79-379,2021-04-22T18:28:22Z,2021-04-23T01:26:40Z,9.828,TRUE
2_39_125_21_2021-04-22 18:41:35.335221,39,2-39-125-21,2021-04-22T18:41:46Z,2021-04-22T19:37:13Z,1.691,TRUE
2_39_81_4550_2021-04-22 20:56:19.515472,39,2-39-81-4550,2021-04-22T20:56:37Z,2021-04-22T21:46:05Z,36.67,TRUE
2_39_79_377_2021-04-22 21:17:06.702017,39,2-39-79-377,2021-04-22T21:17:14Z,2021-04-22T22:22:26Z,3.776,TRUE
